"","longitude","latitude","district"
"Ajapnyak.1",44.4314120506273,40.193762870899,"Ajapnyak"
"Ajapnyak.2",44.4390439250904,40.200712519515,"Ajapnyak"
"Ajapnyak.3",44.4455698943967,40.198905455567,"Ajapnyak"
"Ajapnyak.4",44.418765849299,40.2096006669541,"Ajapnyak"
"Ajapnyak.5",44.4097823765126,40.2103484112256,"Ajapnyak"
"Ajapnyak.6",44.4803157420894,40.1994648368607,"Ajapnyak"
"Ajapnyak.7",44.4312356596474,40.2187924827728,"Ajapnyak"
"Ajapnyak.8",44.438178150796,40.2007574903595,"Ajapnyak"
"Ajapnyak.9",44.4401903667669,40.2036979691126,"Ajapnyak"
"Ajapnyak.10",44.4332356936081,40.1972059745799,"Ajapnyak"
"Ajapnyak.11",44.457900624756,40.1881969262112,"Ajapnyak"
"Ajapnyak.12",44.4088045874151,40.1976576304964,"Ajapnyak"
"Ajapnyak.13",44.4410641223814,40.2013041751969,"Ajapnyak"
"Ajapnyak.14",44.4401507371475,40.2152212409515,"Ajapnyak"
"Ajapnyak.15",44.4533916278947,40.198836403369,"Ajapnyak"
"Ajapnyak.16",44.4363928963351,40.1876046278817,"Ajapnyak"
"Ajapnyak.17",44.4610356863261,40.203941798823,"Ajapnyak"
"Ajapnyak.18",44.4489579164724,40.1884779914194,"Ajapnyak"
"Ajapnyak.19",44.402202519235,40.2199198881101,"Ajapnyak"
"Ajapnyak.20",44.4569372844302,40.1954623746209,"Ajapnyak"
"Arabkir.1",44.5298556012783,40.222547446015,"Arabkir"
"Arabkir.2",44.527482371056,40.230483890329,"Arabkir"
"Arabkir.3",44.5000743331974,40.1898023574972,"Arabkir"
"Arabkir.4",44.5478081195366,40.2410432636437,"Arabkir"
"Arabkir.5",44.5299105721045,40.2274097854954,"Arabkir"
"Arabkir.6",44.4961957316292,40.2043898940584,"Arabkir"
"Arabkir.7",44.4949306614956,40.2043068421968,"Arabkir"
"Arabkir.8",44.5149422476418,40.2078867771125,"Arabkir"
"Arabkir.9",44.5084146599328,40.1992976469437,"Arabkir"
"Arabkir.10",44.5378953260895,40.2292332098452,"Arabkir"
"Arabkir.11",44.51530391787,40.2223070811986,"Arabkir"
"Arabkir.12",44.5418985551377,40.2364050682535,"Arabkir"
"Arabkir.13",44.5251110744042,40.2056665449553,"Arabkir"
"Arabkir.14",44.5063437111328,40.2107632598604,"Arabkir"
"Arabkir.15",44.4951361991721,40.212049531716,"Arabkir"
"Arabkir.16",44.4928479826907,40.1942786590566,"Arabkir"
"Arabkir.17",44.5638835484122,40.2402010245444,"Arabkir"
"Arabkir.18",44.5454570703663,40.2349940343997,"Arabkir"
"Arabkir.19",44.5481595302728,40.241208919297,"Arabkir"
"Arabkir.20",44.5108625477235,40.203416291368,"Arabkir"
"Avan.1",44.5607461696891,40.2219370752556,"Avan"
"Avan.2",44.5982323944644,40.2118439643376,"Avan"
"Avan.3",44.5557931721528,40.2048506179681,"Avan"
"Avan.4",44.5686954346752,40.2123783219008,"Avan"
"Avan.5",44.5551731801366,40.2219580214865,"Avan"
"Avan.6",44.5677382962418,40.2127861947783,"Avan"
"Avan.7",44.5537420380004,40.2072083521876,"Avan"
"Avan.8",44.5828479077105,40.2197416627777,"Avan"
"Avan.9",44.5758869664853,40.2109660212198,"Avan"
"Avan.10",44.5491764913287,40.2176573068962,"Avan"
"Avan.11",44.5716632903714,40.2186829763684,"Avan"
"Avan.12",44.5539501633116,40.2141379135908,"Avan"
"Avan.13",44.561793051636,40.2230376374911,"Avan"
"Avan.14",44.5534892038809,40.2196330730537,"Avan"
"Avan.15",44.5618828844519,40.2239676052646,"Avan"
"Avan.16",44.5627247171915,40.2237264959114,"Avan"
"Avan.17",44.5641355622066,40.2190580365424,"Avan"
"Avan.18",44.568757288778,40.2258400146075,"Avan"
"Avan.19",44.5564001885652,40.2265043077664,"Avan"
"Avan.20",44.5521302704787,40.2220755303144,"Avan"
"Davtashen.1",44.4854608176502,40.2289568144725,"Davtashen"
"Davtashen.2",44.5099574122127,40.2233735907756,"Davtashen"
"Davtashen.3",44.4843430863172,40.2285501361136,"Davtashen"
"Davtashen.4",44.4959260579997,40.2159905095682,"Davtashen"
"Davtashen.5",44.4908033964152,40.2157933417186,"Davtashen"
"Davtashen.6",44.456533687399,40.2291454660712,"Davtashen"
"Davtashen.7",44.4943564819129,40.2226150862517,"Davtashen"
"Davtashen.8",44.5024669119885,40.22553199928,"Davtashen"
"Davtashen.9",44.494141506714,40.2266864593085,"Davtashen"
"Davtashen.10",44.4885809921389,40.2298408726752,"Davtashen"
"Davtashen.11",44.4948192790301,40.2236682374807,"Davtashen"
"Davtashen.12",44.5012901516958,40.2173631931112,"Davtashen"
"Davtashen.13",44.4878856214568,40.2235083984316,"Davtashen"
"Davtashen.14",44.4873264019175,40.2250173163285,"Davtashen"
"Davtashen.15",44.497186453452,40.225454477541,"Davtashen"
"Davtashen.16",44.5016545080384,40.2280001931085,"Davtashen"
"Davtashen.17",44.5110589508447,40.2226457799415,"Davtashen"
"Davtashen.18",44.4941848920084,40.2276883851826,"Davtashen"
"Davtashen.19",44.4954680317529,40.2203727253338,"Davtashen"
"Davtashen.20",44.4934160202946,40.2216172903033,"Davtashen"
"Erebuni.1",44.5669688999445,40.1174218125914,"Erebuni"
"Erebuni.2",44.554031787423,40.1128462308369,"Erebuni"
"Erebuni.3",44.5649060186482,40.1449553800154,"Erebuni"
"Erebuni.4",44.5758738597942,40.1138742373982,"Erebuni"
"Erebuni.5",44.5251379672712,40.1200708180188,"Erebuni"
"Erebuni.6",44.559388063074,40.1334857172901,"Erebuni"
"Erebuni.7",44.5650026545362,40.1306550356785,"Erebuni"
"Erebuni.8",44.5800645480022,40.1360704137008,"Erebuni"
"Erebuni.9",44.533568218916,40.1350381004553,"Erebuni"
"Erebuni.10",44.5564236751364,40.1410943005907,"Erebuni"
"Erebuni.11",44.571623201787,40.1454070298981,"Erebuni"
"Erebuni.12",44.5221394181333,40.129678389388,"Erebuni"
"Erebuni.13",44.5648324266005,40.1306293173473,"Erebuni"
"Erebuni.14",44.6044876068426,40.1376557889366,"Erebuni"
"Erebuni.15",44.5433029554024,40.1007822129863,"Erebuni"
"Erebuni.16",44.5751851925825,40.1278890973729,"Erebuni"
"Erebuni.17",44.5377653202357,40.1309830567095,"Erebuni"
"Erebuni.18",44.5415237802982,40.1609720302784,"Erebuni"
"Erebuni.19",44.5066664044072,40.1301066326643,"Erebuni"
"Erebuni.20",44.5178142386101,40.1102225352504,"Erebuni"
"Kanaker-Zeytun.1",44.5453204021121,40.1973971899801,"Kanaker-Zeytun"
"Kanaker-Zeytun.2",44.5500279548952,40.207892110441,"Kanaker-Zeytun"
"Kanaker-Zeytun.3",44.5325566547872,40.2109645528585,"Kanaker-Zeytun"
"Kanaker-Zeytun.4",44.5287849151438,40.2038599659985,"Kanaker-Zeytun"
"Kanaker-Zeytun.5",44.5473469332742,40.2227029638837,"Kanaker-Zeytun"
"Kanaker-Zeytun.6",44.5382092022914,40.2228156611469,"Kanaker-Zeytun"
