"","TYPE","point","lon","lat","cell"
"1","supermarket/shop(food)",10,44.4721880662711,40.1176802643038,25
"2","place_of_worship",3,44.4459512412624,40.1275183596644,24
"3","School/kindergarten",7,44.436441046844,40.1412582751969,17
"4","beauty_salon",4,44.4360846851708,40.1430730557946,17
"5","supermarket/shop(food)",10,44.436398197205,40.1432419851129,17
"6","bank/atm",10,44.4652244160201,40.1386017698095,17
"7","School/kindergarten",7,44.4649793556106,40.1418489923926,17
"8","bank/atm",10,44.4674720906925,40.1402033219927,18
"9","supermarket/shop(food)",10,44.4675760257709,40.1400608931276,18
"10","bank/atm",10,44.4675873445435,40.1401253775929,18
"11","bank/atm",10,44.4675391050127,40.1401643154672,18
"12","supermarket/shop(food)",10,44.4334908896194,40.1605964783624,17
"13","School/kindergarten",7,44.4498417549264,40.1575406037383,17
"14","mall/shop(non-food)",14,44.4468067069075,40.1582897729397,17
"15","bank/atm",10,44.4478481238163,40.1581694203435,17
"16","bus_stop",4,44.4415105094869,40.1623213586589,17
"17","supermarket/shop(food)",10,44.442013566046,40.1622763921866,17
"18","bus_stop",4,44.4419527501013,40.1623670116117,17
"19","supermarket/shop(food)",10,44.4436347556392,40.1613960730972,17
"20","supermarket/shop(food)",10,44.4432604276604,40.16304370148,17
"21","bus_stop",4,44.4404518449246,40.1643378168853,17
"22","healthcare",10,44.4418859154441,40.163615693783,17
"23","mall/shop(non-food)",14,44.4410691671878,40.1652415068452,17
"24","bus_stop",4,44.4402473883659,40.1655156869111,17
"25","bank/atm",10,44.4411658259124,40.1652796751932,17
"26","bus_stop",4,44.4413139581027,40.1653820980639,17
"27","bus_stop",4,44.4412712881267,40.1656157067546,17
"28","bank/atm",10,44.4414295712798,40.165413058298,17
"29","bank/atm",10,44.4414585868635,40.1654263759997,17
"30","restaurant/cafe",6,44.4415988138793,40.1659078709442,17
"31","supermarket/shop(food)",10,44.4432337476964,40.1636813915823,17
"32","supermarket/shop(food)",10,44.4435605547968,40.1640665839828,17
"33","healthcare",10,44.4435053982383,40.1658712818418,17
"34","School/kindergarten",7,44.4462177714072,40.1628475671479,17
"35","supermarket/shop(food)",10,44.4482550606401,40.1621331857878,17
"36","restaurant/cafe",6,44.4512715135326,40.1488644135966,17
"37","bank/atm",10,44.456712519377,40.1485425127871,17
"38","healthcare",10,44.4621824509735,40.1449548772083,17
"39","bank/atm",10,44.4622217073514,40.1449925076114,17
"40","supermarket/shop(food)",10,44.4627915985677,40.1451900668856,17
"41","supermarket/shop(food)",10,44.4636465252236,40.1453907156543,17
"42","supermarket/shop(food)",10,44.4623228576524,40.1459467884395,17
"43","supermarket/shop(food)",10,44.463002792491,40.1456476028944,17
"44","healthcare",10,44.463137270289,40.1457298670338,17
"45","bank/atm",10,44.4632041049462,40.1457219015622,17
"46","supermarket/shop(food)",10,44.4634592264868,40.1454889797735,17
"47","healthcare",10,44.4637020411081,40.1455965825977,17
"48","restaurant/cafe",6,44.4643208905074,40.1463092152509,17
"49","School/kindergarten",7,44.4652300754064,40.145377806032,17
"50","School/kindergarten",7,44.4682187703567,40.1485311830593,18
"51","School/kindergarten",7,44.4722738553807,40.1502153778533,18
"52","place_of_worship",3,44.454233887845,40.1604350753809,17
"53","restaurant/cafe",6,44.4648559270906,40.1576703632919,17
"54","place_of_worship",3,44.4695229444862,40.1595695616524,18
"55","restaurant/cafe",6,44.4667317890669,40.162717680187,17
"56","bus_stop",4,44.4221202842476,40.1871787947705,9
"57","bus_stop",4,44.4233070485695,40.1857016053752,9
"58","School/kindergarten",7,44.4246295483308,40.1865800994471,9
"59","bus_stop",4,44.4255531961059,40.1868113018781,9
"60","School/kindergarten",7,44.4192490889365,40.1903638556389,9
"61","School/kindergarten",7,44.4337690978629,40.170621796517,10
"62","School/kindergarten",7,44.4342036129659,40.1706540585717,10
"63","bus_stop",4,44.4377266258471,40.1704311755105,10
"64","bus_stop",4,44.4370638488305,40.1708670563907,10
