"X","TYPE","lon","lat","cell"
127,"Banks, ATMs",44.4414295712798,40.165413058298,"2,6"
128,"Banks, ATMs",44.4414585868635,40.1654263759997,"2,6"
144,"Banks, ATMs",44.456712519377,40.1485425127871,"6"
148,"Banks, ATMs",44.4622217073514,40.1449925076114,"6"
156,"Banks, ATMs",44.4632041049462,40.1457219015622,"6"
324,"Banks, ATMs",44.4394309096042,40.1769949020116,"2,6"
325,"Banks, ATMs",44.442233204133,40.1661300823865,"2,6"
326,"Banks, ATMs",44.4422657231462,40.1661449101862,"2,6"
327,"Banks, ATMs",44.4422989608118,40.1661675637629,"2,6"
367,"Banks, ATMs",44.4441163424631,40.1734312835002,"2,6"
378,"Banks, ATMs",44.4440145633414,40.1756910068344,"2,6"
382,"Banks, ATMs",44.4457511864486,40.1730082548207,"2,6"
388,"Banks, ATMs",44.4455398128623,40.1736472927468,"2,6"
392,"Banks, ATMs",44.4499664410878,40.1742264027998,"2,6"
395,"Banks, ATMs",44.4506532031225,40.1743584641846,"2,6"
456,"Banks, ATMs",44.4460720646681,40.1780153779532,"2,6"
460,"Banks, ATMs",44.4464029141873,40.1787293862621,"2,6"
461,"Banks, ATMs",44.4467962864502,40.179462192706,"2,6"
466,"Banks, ATMs",44.4458387721888,40.1802077569728,"2,6"
525,"Banks, ATMs",44.4557628204586,40.1748252071445,"2,6"
528,"Banks, ATMs",44.4567386603518,40.1720881943746,"2,6"
529,"Banks, ATMs",44.4573958678136,40.1721691223045,"2,6"
531,"Banks, ATMs",44.4573664030723,40.1724191128067,"2,6"
533,"Banks, ATMs",44.4573919152264,40.1728547063579,"2,6"
537,"Banks, ATMs",44.4569680900753,40.1735186619659,"2,6"
543,"Banks, ATMs",44.4575554984396,40.1731252177439,"2,6"
545,"Banks, ATMs",44.4575718477778,40.1732644198333,"2,6"
547,"Banks, ATMs",44.457898115889,40.1741638039662,"2,6"
554,"Banks, ATMs",44.4584433034349,40.1756352044762,"2,6"
556,"Banks, ATMs",44.4651794104244,40.1669992880287,"2,6"
