"","longitude","latitude","district","supermarket/shop(food)","place_of_worship","School/kindergarten","beauty_salon","bank/atm","mall/shop(non-food)","bus_stop","healthcare","restaurant/cafe","state institutions/NGO","cinema/theatre/museum","pub/bar","university","post_office","totalScore"
"Ajapnyak.1",44.424001293425,40.2085723878799,"Ajapnyak",12,0,5.4,0,9,0,14.25,0,4.75,0,0,0,0,0,45.4
"Ajapnyak.2",44.4358730448817,40.1958701083193,"Ajapnyak",10,4.5,5.4,4.5,4.5,5,9,6.75,7.2,0,0,0,0,0,56.85
"Ajapnyak.3",44.4822298696008,40.2008155376604,"Ajapnyak",20,2.25,8,4,10,4,15,13.5,9,0,2.7,0,4,0,92.45
"Ajapnyak.4",44.4475227293949,40.2054985226001,"Ajapnyak",14.4,0,5.7,4.5,7.2,2.7,7.125,7.5,5.4,0,0,0,4.5,0,59.025
"Ajapnyak.5",44.483149264066,40.2054585747257,"Ajapnyak",18,2.7,9,3,9,4.5,15,14.25,9,0,3.6,4.5,3.8,0,96.35
"Ajapnyak.6",44.4498041437626,40.203277594741,"Ajapnyak",12,4.5,5.7,4.5,7.2,3.6,7.5,7.5,5.4,0,0,0,4.5,0,62.4
"Ajapnyak.7",44.4405315874598,40.1927621482492,"Ajapnyak",12,4.75,5.4,4.5,5.4,2.375,11.4,8.1,7.2,0,0,0,0,0,61.125
"Ajapnyak.8",44.4402107768189,40.1966779940137,"Ajapnyak",10,4.75,5,4.5,5,2.25,8.55,6.75,7.2,0,0,0,0,0,54
"Ajapnyak.9",44.4621390541607,40.207997280701,"Ajapnyak",20,4.5,9,3.6,10,3.6,11.4,13.5,7.2,0,4.5,0,2.7,0,90
"Ajapnyak.10",44.4518771522295,40.1982785465643,"Ajapnyak",12,4.5,6,4.5,6,3.6,9,8.1,6,0,0,0,4.5,0,64.2
"Ajapnyak.11",44.419943971743,40.2068424478453,"Ajapnyak",10.8,0,5.4,0,0,0,15,0,4.75,0,0,0,0,0,35.95
"Ajapnyak.12",44.3999918792559,40.224181062331,"Ajapnyak",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ajapnyak.13",44.4279464894204,40.1912779986153,"Ajapnyak",10,4.5,7.6,4.5,4.75,5,12,7.125,9,0,0,0,0,0,64.475
"Ajapnyak.14",44.4636286798531,40.1915516637608,"Ajapnyak",18,2.7,8,2.7,10,3.8,14.25,13.5,10,0,4.5,0,2.7,0,90.15
"Ajapnyak.15",44.4600008730904,40.2035505762006,"Ajapnyak",18,0,9,2.7,9.5,4.5,9,12,7.2,0,4.5,0,2.7,0,79.1
"Ajapnyak.16",44.4490835239438,40.1899632976831,"Ajapnyak",16,2.7,7.6,2.25,6,2.7,13.5,10.8,6,0,0,0,4.5,0,72.05
"Ajapnyak.17",44.4539804984516,40.2040125774425,"Ajapnyak",15.2,4.5,7.2,2.25,9,3.6,8.55,9,7.2,0,0,0,2.25,0,68.75
"Ajapnyak.18",44.4241560197971,40.198687260895,"Ajapnyak",10,0,5.7,0,0,0,9,13.5,5.4,0,0,0,0,0,43.6
"Ajapnyak.19",44.4574109147688,40.2084518891871,"Ajapnyak",18,4.5,7.6,2.7,10,3.6,10.8,10.8,5.4,0,4.5,0,2.25,0,80.15
"Ajapnyak.20",44.4653281866765,40.1960504270669,"Ajapnyak",16,2.25,9,2.7,8,4,12,12,9,0,0,0,2.7,0,77.65
"Arabkir.1",44.5134684894507,40.2083874777018,"Arabkir",20,2.25,9.5,4.75,10,5,14.25,15,10,0,4.5,5,3.6,0,103.85
"Arabkir.2",44.4909762986148,40.2004548355653,"Arabkir",20,2.25,9,5,10,5,15,15,10,0,2.85,5,4.5,0,103.6
"Arabkir.3",44.5033581889622,40.1928655521311,"Arabkir",20,3.6,9.5,4.5,10,5,15,15,10,0,4.5,4,4.5,0,105.6
"Arabkir.4",44.5196226906791,40.218708493355,"Arabkir",15.2,2.85,7.2,3,7.2,3,12,12,7.2,0,2.375,0,2.5,0,74.525
