"","District","minlon","minlat","maxlon","maxlat"
"1","Malatia-Sebastia",44.4192490889365,40.1575406037383,44.4888749913259,40.1910767046593
"2","Shengavit",44.4360846851708,40.1174170199554,44.5080465666249,40.1631273862045
"3","Ajapnyak",44.4312427657894,40.1890792948667,44.4812306875841,40.2331347014833
"4","Erebuni",44.5087339574804,40.1159903854796,44.54458868491,40.1634453048372
"5","Kentron",44.4803207840328,40.161523285163,44.5329988007773,40.1932488990943
"6","Arabkir",44.4835259729666,40.1894939198979,44.562228003829,40.239285721888
"7","Nork-Marash",44.5308847055877,40.1659925132012,44.5584683747019,40.1943326714952
"8","Kanaker-Zeytun",44.5170574774084,40.1960237582599,44.5506263517661,40.2299321725239
"9","Davtashen",44.4746096547825,40.2085369012005,44.5068275527844,40.2275693213557
"10","Nor Nork",44.549073703629,40.170541759098,44.6024923813253,40.2093633038575
"11","Avan",44.5499297082633,40.2032191028005,44.5857997968843,40.2262865628888
