"cell_id","lon_top_left","lat_top_left","lon_top_right","lat_top_right","lon_bottom_left","lat_bottom_left","lon_bottom_right","lat_bottom_right"
1,44.379928,44.414928,44.414928,44.414928,44.379928,44.379928,44.414928,44.379928
2,44.449928,44.484928,44.484928,44.484928,44.449928,44.449928,44.484928,44.449928
3,44.519928,44.554928,44.554928,44.554928,44.519928,44.519928,44.554928,44.519928
4,44.589928,44.379928,44.624928,44.379928,44.589928,44.344928,44.624928,44.344928
5,44.414928,44.449928,44.449928,44.449928,44.414928,44.414928,44.449928,44.414928
6,44.484928,44.519928,44.519928,44.519928,44.484928,44.484928,44.519928,44.484928
7,44.554928,44.589928,44.589928,44.589928,44.554928,44.554928,44.589928,44.554928
8,44.379928,44.414928,44.414928,44.414928,44.379928,44.379928,44.414928,44.379928
9,44.449928,44.484928,44.484928,44.484928,44.449928,44.449928,44.484928,44.449928
10,44.519928,44.554928,44.554928,44.554928,44.519928,44.519928,44.554928,44.519928
11,44.589928,44.379928,44.624928,44.379928,44.589928,44.344928,44.624928,44.344928
12,44.414928,44.449928,44.449928,44.449928,44.414928,44.414928,44.449928,44.414928
13,44.484928,44.519928,44.519928,44.519928,44.484928,44.484928,44.519928,44.484928
14,44.554928,44.589928,44.589928,44.589928,44.554928,44.554928,44.589928,44.554928
15,44.379928,44.414928,44.414928,44.414928,44.379928,44.379928,44.414928,44.379928
16,44.449928,44.484928,44.484928,44.484928,44.449928,44.449928,44.484928,44.449928
17,44.519928,44.554928,44.554928,44.554928,44.519928,44.519928,44.554928,44.519928
18,44.589928,40.22179,44.624928,40.22179,44.589928,40.18679,44.624928,40.18679
19,40.22179,40.22179,40.25679,40.22179,40.22179,40.18679,40.25679,40.18679
20,40.22179,40.22179,40.25679,40.22179,40.22179,40.18679,40.25679,40.18679
21,40.22179,40.22179,40.25679,40.22179,40.22179,40.18679,40.25679,40.18679
22,40.18679,40.18679,40.22179,40.18679,40.18679,40.15179,40.22179,40.15179
23,40.18679,40.18679,40.22179,40.18679,40.18679,40.15179,40.22179,40.15179
24,40.18679,40.18679,40.22179,40.18679,40.18679,40.15179,40.22179,40.15179
25,40.18679,40.15179,40.22179,40.15179,40.18679,40.11679,40.22179,40.11679
26,40.15179,40.15179,40.18679,40.15179,40.15179,40.11679,40.18679,40.11679
27,40.15179,40.15179,40.18679,40.15179,40.15179,40.11679,40.18679,40.11679
28,40.15179,40.15179,40.18679,40.15179,40.15179,40.11679,40.18679,40.11679
29,40.11679,40.11679,40.15179,40.11679,40.11679,40.08179,40.15179,40.08179
30,40.11679,40.11679,40.15179,40.11679,40.11679,40.08179,40.15179,40.08179
31,40.11679,40.11679,40.15179,40.11679,40.11679,40.08179,40.15179,40.08179
32,40.11679,40.08179,40.15179,40.08179,40.11679,40.04679,40.15179,40.04679
33,40.08179,40.08179,40.11679,40.08179,40.08179,40.04679,40.11679,40.04679
34,40.08179,40.08179,40.11679,40.08179,40.08179,40.04679,40.11679,40.04679
35,40.08179,40.08179,40.11679,40.08179,40.08179,40.04679,40.11679,40.04679
