"","lon","lat","cell","supermarket/shop(food)","place_of_worship","School/kindergarten","beauty_salon","bank/atm","mall/shop(non-food)","bus_stop","healthcare","restaurant/cafe","state institutions/NGO","cinema/theatre/museum","pub/bar","university","post_office","totalScore"
"1",44.3775327427941,40.2070065429224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",44.3858966269029,40.2218006702,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",44.3689887924433,40.2200908007298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",44.3932890110509,40.238821056463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",44.3641383606963,40.2092647019168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",44.3701351710362,40.2334742513031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",44.3715910163137,40.2053235321515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",44.3892803466412,40.2315465546306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",44.3759366876468,40.2122935879102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",44.3721780588174,40.2089751041459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",44.4040993823332,40.2142014385841,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",44.4049832623905,40.2338944371219,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9
"13",44.4301239987241,40.209085765992,2,16,0,7.2,0,9,4.5,0,0,5.4,0,0,0,0,0,42.1
"14",44.4320366179093,40.2344581714691,2,18,0,9,0,7.2,0,0,0,9,0,0,0,0,0,43.2
"15",44.4082788724987,40.206639221661,2,18,0,9.5,0,0,0,13.5,0,0,0,0,0,0,0,41
"16",44.4022275807766,40.2195222952391,2,18,0,9,0,0,0,0,0,0,0,0,0,0,0,27
"17",44.4205625032353,40.2280947235832,2,19,0,9,0,4.5,0,0,0,9,0,0,0,0,0,41.5
"18",44.4178999681852,40.2114939422079,2,10,0,5.4,0,0,0,0,0,4.5,0,0,0,0,0,19.9
"19",44.4094702866393,40.2372788666607,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9
"20",44.4259164788457,40.2175663327181,2,12,0,7.2,0,9,0,0,0,5.4,0,0,0,0,0,33.6
"21",44.4543464049428,40.2058700849698,3,16,4.5,7.6,2.25,9,3.6,8.55,9,5.4,0,4.5,0,2.25,0,72.65
"22",44.4388505840673,40.2109696254867,3,20,0,9,4.5,5.4,4.5,0,13.5,7.2,0,0,0,0,0,64.1
"23",44.4555002666415,40.2054305535298,3,16,0,7.6,2.25,9,3.6,8.55,9,7.2,0,4.5,0,2.25,0,69.95
"24",44.458142251874,40.233941806727,3,19,0,0,4.5,4.5,0,0,0,9,0,0,0,0,0,37
"25",44.4497767801547,40.2191460039594,3,12,0,5.4,4.5,5.4,2.25,7.125,6.75,7.2,0,0,0,0,0,50.625
"26",44.4628331560326,40.2328921203513,3,19,0,0,4.5,4.5,0,0,0,0,0,0,0,0,0,28
"27",44.4615423280559,40.2095980997628,3,19,4.5,9,3.6,10,3.6,11.4,12,5.4,0,4.5,0,2.25,0,85.25
"28",44.4668434588867,40.2184945436974,3,15.2,2.25,6,3.6,7.2,2.5,8.55,9,5,0,2.25,0,4.5,0,66.05
"29",44.4557677578774,40.2295778126036,3,9,0,0,4.5,5.4,4.5,0,0,9,0,0,0,0,0,32.4
"30",44.4549281049717,40.2063771839963,3,16,0,7.6,2.25,9,3.6,8.55,9,5.4,0,4.5,0,2.25,0,68.15
"31",44.4789902228128,40.2116598360962,4,16,3.6,8,3.6,8,4,14.25,13.5,8,0,3.6,0,2.7,0,85.25
"32",44.4946147400676,40.2306268063327,4,16,2.25,7.2,3.6,7.2,3.6,11.4,10.8,7.2,0,4.75,0,4.5,0,78.5
"33",44.49684407708,40.2198677247669,4,20,3.6,9,4.5,10,4.5,15,14.25,9.5,0,2.85,0,2.7,0,95.9
