"","TYPE","point","lon","lat"
"1","supermarket/shop(food)",10,44.4721880662711,40.1176802643038
"2","place_of_worship",3,44.4459512412624,40.1275183596644
"3","School/kindergarten",7,44.436441046844,40.1412582751969
"4","beauty_salon",4,44.4360846851708,40.1430730557946
"5","supermarket/shop(food)",10,44.436398197205,40.1432419851129
"6","bank/atm",10,44.4652244160201,40.1386017698095
"7","post_office",3,44.4641761719151,40.1430709956784
"8","School/kindergarten",7,44.4649793556106,40.1418489923926
"9","bank/atm",10,44.4674720906925,40.1402033219927
"10","supermarket/shop(food)",10,44.4675760257709,40.1400608931276
"11","bank/atm",10,44.4675873445435,40.1401253775929
"12","bank/atm",10,44.4675391050127,40.1401643154672
"13","mall/shop(non-food)",14,44.4338373698245,40.1599477747278
"14","supermarket/shop(food)",10,44.4334908896194,40.1605964783624
"15","School/kindergarten",7,44.4498417549264,40.1575406037383
"16","mall/shop(non-food)",14,44.4468067069075,40.1582897729397
"17","bank/atm",10,44.4478481238163,40.1581694203435
"18","bus_stop",4,44.4415105094869,40.1623213586589
"19","supermarket/shop(food)",10,44.442013566046,40.1622763921866
"20","bus_stop",4,44.4419527501013,40.1623670116117
"21","supermarket/shop(food)",10,44.4436347556392,40.1613960730972
"22","supermarket/shop(food)",10,44.4432604276604,40.16304370148
"23","bus_stop",4,44.4404518449246,40.1643378168853
"24","healthcare",10,44.4418859154441,40.163615693783
"25","mall/shop(non-food)",14,44.4410691671878,40.1652415068452
"26","bus_stop",4,44.4402473883659,40.1655156869111
"27","bank/atm",10,44.4411658259124,40.1652796751932
"28","mall/shop(non-food)",14,44.4420757294637,40.1651489004586
"29","bus_stop",4,44.4413139581027,40.1653820980639
"30","bus_stop",4,44.4412712881267,40.1656157067546
"31","bank/atm",10,44.4414295712798,40.165413058298
"32","bank/atm",10,44.4414585868635,40.1654263759997
"33","restaurant/cafe",6,44.4415988138793,40.1659078709442
"34","supermarket/shop(food)",10,44.4432337476964,40.1636813915823
"35","supermarket/shop(food)",10,44.4435605547968,40.1640665839828
"36","healthcare",10,44.4435053982383,40.1658712818418
"37","School/kindergarten",7,44.4462177714072,40.1628475671479
"38","supermarket/shop(food)",10,44.4482550606401,40.1621331857878
"39","restaurant/cafe",6,44.4512715135326,40.1488644135966
"40","state institutions/NGO",4,44.4567855524096,40.1480451702905
"41","post_office",3,44.4569626103521,40.1479945637879
"42","bank/atm",10,44.456712519377,40.1485425127871
"43","healthcare",10,44.4621824509735,40.1449548772083
"44","bank/atm",10,44.4622217073514,40.1449925076114
