"","WKT","ID","NAME","NAME_EN","TYPE","point"
"1","44.4721880662711 40.1176802643038",45187,"??????","Aramis","supermarket/shop(food)",10
"2","44.4459512412624 40.1275183596644",45234,"","","place_of_worship",3
"3","44.436441046844 40.1412582751969",45236,"","","School/kindergarten",7
"4","44.4360846851708 40.1430730557946",45238,"","","beauty_salon",4
"5","44.436398197205 40.1432419851129",45239,"""Nor Zovq""","","supermarket/shop(food)",10
"6","44.4652244160201 40.1386017698095",45282,"ATM (INECOBANK)","","bank/atm",10
"7","44.4641761719151 40.1430709956784",45284,"Hay Post 0043","","post_office",3
"8","44.4649793556106 40.1418489923926",45286,"School  No 52 AFT Hovanes Hovhanisyan","","School/kindergarten",7
"9","44.4674720906925 40.1402033219927",45289,"CONVERSBANK (ATM)","","bank/atm",10
"10","44.4675760257709 40.1400608931276",45290,"???-???????????? ?????? ????","""AR-BE"" Armenian-Belarus Trading House","supermarket/shop(food)",10
"11","44.4675873445435 40.1401253775929",45291,"AMERIABANK (ATM)","","bank/atm",10
"12","44.4675391050127 40.1401643154672",45292,"ABB (ATM)","","bank/atm",10
"13","44.4338373698245 40.1599477747278",45316,"","Vesta","mall/shop(non-food)",14
"14","44.4334908896194 40.1605964783624",45317,"","","supermarket/shop(food)",10
"15","44.4498417549264 40.1575406037383",45344,"?? ????????????? ???????????","EDUCATIONAL COMPLEX OF POLICE OF THE RA","School/kindergarten",7
"16","44.4468067069075 40.1582897729397",45345,"M&S Trading center","","mall/shop(non-food)",14
"17","44.4478481238163 40.1581694203435",45346,"ATM (Anelik Bank)","","bank/atm",10
"18","44.4415105094869 40.1623213586589",45358,"","","bus_stop",4
"19","44.442013566046 40.1622763921866",45360,"??? ????","","supermarket/shop(food)",10
"20","44.4419527501013 40.1623670116117",45361,"","","bus_stop",4
"21","44.4436347556392 40.1613960730972",45366,"","","supermarket/shop(food)",10
"22","44.4432604276604 40.16304370148",45368,"MG","","supermarket/shop(food)",10
"23","44.4404518449246 40.1643378168853",45372,"","","bus_stop",4
"24","44.4418859154441 40.163615693783",45373,"","","healthcare",10
"25","44.4410691671878 40.1652415068452",45378,"?????","""Baldi""","mall/shop(non-food)",14
"26","44.4402473883659 40.1655156869111",45379,"","","bus_stop",4
"27","44.4411658259124 40.1652796751932",45380,"?????????????","AEB","bank/atm",10
"28","44.4420757294637 40.1651489004586",45381,"????????","","mall/shop(non-food)",14
"29","44.4413139581027 40.1653820980639",45382,"","","bus_stop",4
"30","44.4412712881267 40.1656157067546",45383,"","","bus_stop",4
"31","44.4414295712798 40.165413058298",45384,"?????????","Unibank","bank/atm",10
"32","44.4414585868635 40.1654263759997",45385,"?????? ????","Aneliq Bank","bank/atm",10
"33","44.4415988138793 40.1659078709442",45386,"""Baby Susie""","","restaurant/cafe",6
"34","44.4432337476964 40.1636813915823",45388,"","","supermarket/shop(food)",10
"35","44.4435605547968 40.1640665839828",45389,"","","supermarket/shop(food)",10
"36","44.4435053982383 40.1658712818418",45391,"","","healthcare",10
"37","44.4462177714072 40.1628475671479",45394,"? 77 « ??????? ???? »","KINDERGARTEN ?77","School/kindergarten",7
"38","44.4482550606401 40.1621331857878",45395,"","","supermarket/shop(food)",10
"39","44.4512715135326 40.1488644135966",45398,"?????","""Zhokey""","restaurant/cafe",6
"40","44.4567855524096 40.1480451702905",45401,"","","state institutions/NGO",4
"41","44.4569626103521 40.1479945637879",45402,"HayPost 0086","","post_office",3
"42","44.456712519377 40.1485425127871",45404,"Ararat","","bank/atm",10
"43","44.4621824509735 40.1449548772083",45407,"","","healthcare",10
"44","44.4622217073514 40.1449925076114",45408,"ARDSHINBANK (ATM)","","bank/atm",10
"45","44.4627915985677 40.1451900668856",45409,"""Grand Candy""","","supermarket/shop(food)",10
"46","44.4636465252236 40.1453907156543",45410,"""?????? ?????""","""Charbakh Market""","supermarket/shop(food)",10
"47","44.4623228576524 40.1459467884395",45411,"","","supermarket/shop(food)",10
"48","44.463002792491 40.1456476028944",45413,"«???????» ????????????","""Hagoyan""","supermarket/shop(food)",10
"49","44.4630903782312 40.145675756743",45414,"Ucom","","mall/shop(non-food)",14
"50","44.463137270289 40.1457298670338",45415,"","","healthcare",10
"51","44.4632041049462 40.1457219015622",45416,"VTB BANK (ATM)","","bank/atm",10
"52","44.4634592264868 40.1454889797735",45417,"«??????» ????????????","""Evrika""","supermarket/shop(food)",10
"53","44.4637020411081 40.1455965825977",45418,"","Natali Pharm","healthcare",10
