"","TYPE","point","lon","lat","cell","districtName"
"1","supermarket/shop(food)",10,44.4721880662711,40.1176802643038,8,"Shengavit"
"2","place_of_worship",3,44.4459512412624,40.1275183596644,8,"Shengavit"
"3","School/kindergarten",7,44.436441046844,40.1412582751969,8,"Shengavit"
"4","beauty_salon",4,44.4360846851708,40.1430730557946,8,"Shengavit"
"5","supermarket/shop(food)",10,44.436398197205,40.1432419851129,8,"Shengavit"
"6","bank/atm",10,44.4652244160201,40.1386017698095,8,"Shengavit"
"8","School/kindergarten",7,44.4649793556106,40.1418489923926,8,"Shengavit"
"9","bank/atm",10,44.4674720906925,40.1402033219927,8,"Shengavit"
"10","supermarket/shop(food)",10,44.4675760257709,40.1400608931276,8,"Shengavit"
"11","bank/atm",10,44.4675873445435,40.1401253775929,8,"Shengavit"
"12","bank/atm",10,44.4675391050127,40.1401643154672,8,"Shengavit"
"14","supermarket/shop(food)",10,44.4334908896194,40.1605964783624,6,"Malatia-Sebastia"
"15","School/kindergarten",7,44.4498417549264,40.1575406037383,6,"Malatia-Sebastia"
"16","mall/shop(non-food)",14,44.4468067069075,40.1582897729397,6,"Malatia-Sebastia"
"17","bank/atm",10,44.4478481238163,40.1581694203435,6,"Malatia-Sebastia"
"18","bus_stop",4,44.4415105094869,40.1623213586589,6,"Malatia-Sebastia"
"19","supermarket/shop(food)",10,44.442013566046,40.1622763921866,6,"Malatia-Sebastia"
"20","bus_stop",4,44.4419527501013,40.1623670116117,6,"Malatia-Sebastia"
"21","supermarket/shop(food)",10,44.4436347556392,40.1613960730972,6,"Malatia-Sebastia"
"22","supermarket/shop(food)",10,44.4432604276604,40.16304370148,6,"Malatia-Sebastia"
"23","bus_stop",4,44.4404518449246,40.1643378168853,6,"Malatia-Sebastia"
"24","healthcare",10,44.4418859154441,40.163615693783,6,"Malatia-Sebastia"
"25","mall/shop(non-food)",14,44.4410691671878,40.1652415068452,6,"Malatia-Sebastia"
"26","bus_stop",4,44.4402473883659,40.1655156869111,6,"Malatia-Sebastia"
"27","bank/atm",10,44.4411658259124,40.1652796751932,6,"Malatia-Sebastia"
"29","bus_stop",4,44.4413139581027,40.1653820980639,6,"Malatia-Sebastia"
"30","bus_stop",4,44.4412712881267,40.1656157067546,6,"Malatia-Sebastia"
"31","bank/atm",10,44.4414295712798,40.165413058298,6,"Malatia-Sebastia"
"32","bank/atm",10,44.4414585868635,40.1654263759997,6,"Malatia-Sebastia"
"33","restaurant/cafe",6,44.4415988138793,40.1659078709442,6,"Malatia-Sebastia"
